address;name;type;divisor;unit;groups
0x0000;Voltage_Phase_R;F32;100;V;main,voltage
0x0002;Voltage_Phase_S;F32;100;V;main,voltage
0x0004;Voltage_Phase_T;F32;100;V;main,voltage
0x0006;Current_Phase_R;F32;100;A;main,current
0x0008;Current_Phase_S;F32;100;A;main,current
0x000A;Current_Phase_T;F32;100;A;main,current
0x000C;Active_Power_R;F32;100;W;main,power
0x000E;Active_Power_S;F32;100;W;main,power
0x0010;Active_Power_T;F32;100;W;main,power
0x0012;Apparent_Power_R;F32;100;VA;power
0x0014;Apparent_Power_S;F32;100;VA;power
0x0016;Apparent_Power_T;F32;100;VA;power
0x0018;Reactive_Power_R;F32;100;VAr;power
0x001A;Reactive_Power_S;F32;100;VAr;power
0x001C;Reactive_Power_T;F32;100;VAr;power
0x001E;Power_Factor_R;F32;1;;info
0x0020;Power_Factor_S;F32;1;;info
0x0022;Power_Factor_T;F32;1;;info
0x02A;Voltage_Average;F32;100;V;info
0x02E;Current_Average;F32;100;A;info
0x030;Current_Sum;F32;100;A;info
0x034;Total_Power;F32;100;W;main,info
0x038;Total_Volt_Amps;F32;100;VA;info
0x03C;Total_Var;F32;100;VAr;info
0x03E;Total_Power_Factor;F32;1;;info
0x046;Frequency;F32;1;Hz;main,info
0x048;Active_Import;F32;100;kWh;main,info
0x04A;Active_Export;F32;100;kWh;main,info
0x0C8;Voltage_R_S;F32;100;V;info
0x0CA;Voltage_S_T;F32;100;V;info
0x0CC;Voltage_T_R;F32;100;V;info
0x0CE;Voltage_Interline_Average;F32;100;V;info
0x0E0;Current_Neutral;F32;100;A;info,details
0x156;Total_Active_Energy;F32;100;kWh;info
0x158;Total_Reactive_Energy;F32;100;kVArh;info
0x180;User_Total_Energy;F32;100;kWh;info,main,user
0x184;User_Import;F32;100;kWh;info,user
0x186;User_Export;F32;100;kWh;info,user
0x18C;Net_Energy;F32;100;kWh;info,main,user
0x500;Total_Import_Power;F32;100;W;main,info
0x502;Total_Export_Power;F32;100;W;main,info
